sample_id	AD_cleavage_profile_amplitude	AD_cleavage_profile_center_over_shoulder	AD_cleavage_profile_central_mean	AD_cleavage_profile_contrast	AD_cleavage_profile_phasing_strength	AD_cleavage_profile_shoulder_mean	AD_fraglen_global_max_len	AD_fraglen_global_min_len	AD_fraglen_mode	AD_fraglen_n_intervals	AD_fraglen_pooled_sd_len	AD_fraglen_short_frac_s150	AD_fraglen_total_fragments	AD_fraglen_weighted_mean_len	AD_fraglen_weighted_median_len	AD_motif_frac_AT_rich	AD_motif_frac_CC_GG	AD_motif_frac_CGorGC	AD_motif_motif_entropy	AD_wps_amplitude	AD_wps_center_over_shoulder	AD_wps_central_mean	AD_wps_contrast	AD_wps_phasing_strength	AD_wps_shoulder_mean	NE_cleavage_profile_amplitude	NE_cleavage_profile_center_over_shoulder	NE_cleavage_profile_central_mean	NE_cleavage_profile_contrast	NE_cleavage_profile_phasing_strength	NE_cleavage_profile_shoulder_mean	NE_fraglen_global_max_len	NE_fraglen_global_min_len	NE_fraglen_mode	NE_fraglen_n_intervals	NE_fraglen_pooled_sd_len	NE_fraglen_short_frac_s150	NE_fraglen_total_fragments	NE_fraglen_weighted_mean_len	NE_fraglen_weighted_median_len	NE_motif_frac_AT_rich	NE_motif_frac_CC_GG	NE_motif_frac_CGorGC	NE_motif_motif_entropy	NE_wps_amplitude	NE_wps_center_over_shoulder	NE_wps_central_mean	NE_wps_contrast	NE_wps_phasing_strength	NE_wps_shoulder_mean
LuCaP_208_4_recal	0.1113276725355303	1.0155635575849251	0.7940837593675185	0.0121693696311437	-0.3210265844019873	0.7819143897363747	200.0	100.0	summary	5973	21.55802820981346	0.6097097439271103	465141	144.30621682457578	144.0	0.1770034789388504	0.2038381553803936	0.090477676864397	7.582005398074119	1.768631135716774	1.0331449631973142	-41.912115090391936	-1.344608512530037	0.2988277062463034	-40.5675065778619	0.1044915822475262	0.9966228822681154	0.7707540857259955	-0.0026117474685148	-0.3254445162849885	0.7733658331945104	200.0	100.0	summary	11654	21.84038994235237	0.6045738217729635	967025	144.62085261497893	145.0	0.1332482226811676	0.2418364450649868	0.1108812769175555	7.533852328703312	2.180767043974768	1.063094921722263	-19.80822289100277	-1.1756224653394334	-0.339600914934234	-18.632600425663338
LuCaP_235_3_recal	0.0992827760030368	1.0776097854695177	0.8302269719986268	0.0597931997803328	-0.3194081171287908	0.770433772218294	200.0	100.0	summary	5972	20.62298605147953	0.5335560598419903	380736	147.71911508236678	149.0	0.2126297211616383	0.1827026499005276	0.0713555956163883	7.703357087986923	0.6257050359801255	1.0000234883418513	-32.74852192395286	-0.00076919041107	-1.2856445668504684	-32.74775273354179	0.0966411044976689	0.9680100308020544	0.735579672180547	-0.02430880911037	-0.3195608381122897	0.759888481290917	200.0	100.0	summary	11650	20.30388362106941	0.5070527388135726	1020880	148.95750235091293	150.0	0.1639336600988505	0.2173650861327727	0.0888082671293913	7.657726375033009	0.927095504347708	1.0199061862786365	-20.51587438870451	-0.4004219434542015	0.27041121871917	-20.11545244525031
LuCaP_35CR_recal	0.1099213805385822	1.0770608671510744	0.8937547247757212	0.063945795648266	-0.3512156246696498	0.8298089291274551	200.0	100.0	summary	5950	20.709564507347427	0.720809848233671	186998	138.9704114482508	139.0	0.1911493844409891	0.2192340914412643	0.084345538907763	7.653600660726632	1.194287861555381	0.9529460341745284	-16.142385220431454	0.7970684753011597	-0.9854448646554488	-16.939453695732613	0.1031000068585776	0.9738661590848564	0.8015855465585524	-0.0215106654628239	-0.3500231044494568	0.8230962120213764	200.0	100.0	summary	11611	20.02828849721705	0.7299047205480985	589529	138.76769929893186	139.0	0.1409380604736077	0.2602079287659258	0.1085771407879552	7.572954114453886	1.2868414754322917	1.0860645165675462	-13.223169769494197	-1.0478619790460026	0.1095832307390498	-12.175307790448192
LuCaP_35_recal	0.1125346882758168	1.0721501834757583	0.9147761757395728	0.0615597235686666	-0.3594343036878331	0.8532164521709061	200.0	100.0	summary	5948	17.130312696798786	0.8427302010440965	180060	133.4918471620571	133.5	0.1731255291618906	0.2166718729918555	0.0842989839344988	7.643864407867657	1.077320544288055	0.9572804380550136	-15.816914296401176	0.7058450410169357	-0.8721376074024949	-16.522759337418112	0.1142440420080003	0.9713361221277812	0.8272395105798976	-0.0244116241146202	-0.3631494633473484	0.8516511346945179	200.0	100.0	summary	11619	17.174410020216786	0.8320235789081275	600876	134.1551667898202	134.5	0.1278629521791325	0.2590401685589671	0.1050773403464523	7.555671087659409	1.1940956575270292	1.0696861853564985	-13.074243735181048	-0.8517396829073007	0.0500673507960964	-12.222504052273749
LuCaP_49_recal	0.096332338836342	1.014154068530042	0.8623208401398982	0.0120350039949201	-0.3579946336869326	0.850285836144978	200.0	100.0	summary	5973	17.82940525485722	0.8267820967687779	357388	134.23903992299685	134.0	0.1813045500297106	0.2131464670398817	0.0748347127557984	7.615300077915078	0.7170827027803881	1.0158305076435088	-33.13595124430677	-0.516384303779958	-0.0076253280647335	-32.61956694052681	0.0989759435310573	0.9958212054046262	0.8471500093549419	-0.0035549211659184	-0.3632806927405157	0.8507049305208604	200.0	100.0	summary	11652	17.949493533848393	0.8250737234313273	734841	134.27912977093004	134.5	0.1361415587293443	0.2551019509106068	0.0911541711892875	7.557869157525873	1.0018325063644298	1.0430523803169818	-16.279335276443167	-0.6719357022282004	-0.2753360146511561	-15.607399574214966
LuCaP_58_recal	0.086630904312293	1.0159862224221972	0.7407167524442102	0.0116549442257101	-0.3081483737299116	0.7290618082185001	200.0	100.0	summary	5882	20.69710779980487	0.6289453704038469	55318	142.8032466828157	141.0	0.2218273599605569	0.1769030300132731	0.0698732223068872	7.721999060572459	0.1217443506380364	1.012079024032753	-4.898431617598256	-0.0584621080239404	-0.1136093306403625	-4.839969509574315	0.1081461781034809	0.9739317586301818	0.7692762239855392	-0.0205904347088162	-0.3348977236580238	0.7898666586943555	200.0	100.0	summary	11558	20.52751780326595	0.6170922901827389	156398	143.50617015562858	143.0	0.1735025261416866	0.2071793199381715	0.0881203234085138	7.683606522389896	0.4853077129724239	1.0422339266019185	-2.9932444676999093	-0.12129375558	0.1831488292066077	-2.8719507121199093
LuCaP_70CR_rep2_recal	0.0754309066292707	0.9853029851371492	0.7713303742796304	-0.0115053482491764	-0.3397453658014734	0.7828357225288068	200.0	100.0	summary	5866	19.75232054808066	0.753422664513407	68733	137.4269564837851	136.0	0.2215421988711512	0.1688328508115468	0.0680352872114475	7.73046550956098	0.273798636162299	0.9727280264637594	-6.090359655732842	0.1707528958131865	-0.1286833930215198	-6.261112551546028	0.1009792502479061	0.9698366459861896	0.7962299961932713	-0.024763930452608	-0.3522580367231335	0.8209939266458793	200.0	100.0	summary	11544	19.58955438970797	0.7430031244954747	210594	137.9729289533415	137.0	0.1700876504750978	0.2024772717966117	0.0867756737149	7.690988024557173	0.5817928528980412	1.0855735269287587	-4.239491929634514	-0.3341904235922315	0.0752218638960906	-3.905301506042283
LuCaP_70_recal	0.0872489142865433	1.00794936744514	0.8287168689764003	0.0065358192705428	-0.3534850663957689	0.8221810497058575	200.0	100.0	summary	5907	18.560869860786195	0.7547968757675493	101785	138.48532691457484	138.0	0.2083288682820892	0.1739963112739336	0.071912929261069	7.72688439365872	0.6954786539024056	0.9450967317708936	-8.773304427360664	0.5096653813715193	-0.2782628544010661	-9.282969808732185	0.1048132774381879	0.9631925788688882	0.8022006289278809	-0.0306552781119491	-0.3562857710345622	0.83285590703983	200.0	100.0	summary	11600	18.7424335819656	0.7380322798749507	298762	139.12273649259276	139.0	0.159961576753477	0.2094255286413513	0.0894356967204248	7.677360462859246	0.6788638360310149	1.037653219082937	-6.380795646807327	-0.231539296553259	0.1241802945782359	-6.149256350254068
LuCaP_78_rep2_recal	0.0750085766894463	0.9856311545534056	0.6022686029754831	-0.0087800638540206	-0.2594209381063631	0.6110486668295038	200.0	100.0	summary	5565	20.404279827721357	0.4601300329455669	34299	151.82696288521532	150.0	0.2087516034065231	0.1931831409567447	0.0688543429219477	7.687498554015432	0.1394855373422516	1.0270223225792638	-2.9325250743381948	-0.0771586330582705	-0.0723754391758368	-2.855366441279924	0.1076495209996457	0.9926219315758776	0.6968834488410611	-0.0051798712134284	-0.2991690424888545	0.7020633200544896	200.0	100.0	summary	11102	20.116786963998045	0.4311990141461874	98189	152.9470918330974	152.0	0.1616839085430036	0.2309550714726883	0.0867279784026528	7.633554010282747	0.3615503224816607	1.119178239386937	-2.085108370072965	-0.22203750549366	0.0658525361041973	-1.863070864579305
LuCaP_81_recal	0.0945617923839271	0.9599862876454496	0.7109617788404663	-0.0296339859013784	-0.3264003832049211	0.7405957647418447	200.0	100.0	summary	5844	20.08349367082257	0.6954473184162563	51574	141.32719975181294	139.0	0.2183153257555663	0.1722408640310384	0.0658913217297095	7.712135050155821	0.3504563160891472	0.9485936725668864	-4.422670492155277	0.239674007979926	-0.1559354895666405	-4.662344500135203	0.1067048731523179	0.9830540810663556	0.7888753381344733	-0.0135986593070006	-0.3417292998508221	0.802473997441474	200.0	100.0	summary	11510	19.99048047584589	0.6819432810817279	158783	142.05855790607308	140.0	0.1698849173547885	0.2032931758649224	0.082690325098036	7.674693200025193	0.4050889155862855	1.0687043746619391	-3.0768999466357685	-0.1978063267475964	0.0207628419190832	-2.879093619888172
LuCaP_92_recal	0.0984044516239921	1.048066166302148	0.8675103735615799	0.0397855586079746	-0.3517598831323939	0.8277248149536053	200.0	100.0	summary	5967	18.96078351118789	0.7171476081624774	227921	140.10541810539615	140.0	0.2027410933869592	0.1902733449762745	0.0726899331404674	7.69754893049319	0.5430090845403761	0.9889407720571004	-20.194644445499502	0.2258347339487514	-0.2792427146417147	-20.420479179448257	0.1177177608738917	0.9713927623150378	0.7876097140886411	-0.0231948797314711	-0.34284668028998	0.8108045938201123	200.0	100.0	summary	11647	18.972742115346595	0.6912101981497459	684987	141.26515685699144	141.5	0.1579461556043477	0.2226052718441387	0.0909510343128708	7.648828490187256	1.4585151504937135	1.0597243899691977	-13.67104210321236	-0.7704783032136362	0.2681604945659064	-12.900563799998723
LuCaP_93_recal	0.0853541251034474	1.0210467535459546	0.7336027127436472	0.0151216929510215	-0.2957943426274737	0.7184810197926257	200.0	100.0	summary	5223	20.77970344649935	0.5058796230454277	534388	149.45749717433776	150.0	0.2045206365864648	0.1927465329566867	0.0777388626493896	7.701463340067587	1.1622871983597989	1.017671558835045	-46.99409919485859	-0.816038319644619	-0.2649381164814315	-46.17806087521397	0.0737544689961519	1.0140628264648257	0.7443538970420608	0.0103225553775707	-0.308090621170018	0.73403134166449	200.0	100.0	summary	10055	20.88084035263075	0.5114873579076812	1066912	149.38800763324434	150.0	0.1577409582743078	0.2273809132842508	0.094465141012842	7.650161616913579	2.5227751531007776	1.042558057524022	-21.78357523991033	-0.8892230427345815	-0.9562402107021696	-20.89435219717575
LuCaP_96_rep2_recal	0.098062889689009	1.0698870339325888	0.8563161104799601	0.0559361794021948	-0.3302204442402793	0.8003799310777653	200.0	100.0	summary	5935	18.91684663960639	0.7339833396440743	105640	139.442020068156	138.0	0.2056032840046071	0.1822980790954582	0.0712506821921484	7.704457094324422	0.1905506180937699	1.0102750881084872	-9.467994614748658	-0.0962950388684404	-0.3047329489052384	-9.371699575880218	0.1226371314536938	0.9669037958372092	0.8048756680933586	-0.0275501343066042	-0.3538690280811396	0.8324258023999629	200.0	100.0	summary	11569	18.594890558082213	0.7281994724056217	335485	139.89552737082136	139.5	0.1605301333223523	0.2120746620266105	0.087026685601965	7.658509247000345	0.803701663130882	1.070238464337054	-7.357638610467269	-0.4828729805243501	-0.0188109867216916	-6.874765629942919
