tf_name	direction	auc_mag	sAUC_dir	d	p	p_adj	AUC_AR	sAUC_AR	AUC_NE	sAUC_NE	mean_AR	mean_NE	n_ARPC	n_NEPC
ZBTB42	NEPC-high	0.9404761904761905	0.9404761904761905	-1.818823347003058	9.80392156862745e-4	0.017598039215686274	0.05952380952380952	-0.9404761904761905	0.9404761904761905	0.9404761904761905	0.021910946351818693	0.07202646256188563	14	6
GRHL2	ARPC-high	0.9285714285714286	0.9285714285714286	2.0964405613728725	0.0015479876160990713	0.02315531475748194	0.9285714285714286	0.9285714285714286	0.07142857142857142	-0.9285714285714286	0.26735758504728396	0.13120952130903143	14	6
NFYA	NEPC-high	0.9285714285714286	0.9285714285714286	-1.8033881118557664	0.0015479876160990713	0.02315531475748194	0.07142857142857142	-0.9285714285714286	0.9285714285714286	0.9285714285714286	-0.012399231943791725	0.022981684796439635	14	6
OSR2	NEPC-high	0.9285714285714286	0.9285714285714286	-1.632089724255245	0.0015479876160990713	0.02315531475748194	0.07142857142857142	-0.9285714285714286	0.9285714285714286	0.9285714285714286	0.033072761591019385	0.07595128202654464	14	6
NFKB2	NEPC-high	0.9285714285714286	0.9285714285714286	-1.6285926084409181	0.0015479876160990713	0.02315531475748194	0.07142857142857142	-0.9285714285714286	0.9285714285714286	0.9285714285714286	0.018669280333276157	0.03862756929746298	14	6
RUNX1	NEPC-high	0.9166666666666666	0.9166666666666666	-1.883895266483991	0.0022703818369453044	0.026292486434302074	0.08333333333333333	-0.9166666666666666	0.9166666666666666	0.9166666666666666	0.08936521496440858	0.13438094197300499	14	6
TFE3	ARPC-high	0.9166666666666666	0.9166666666666666	1.8779277004464772	0.0022703818369453044	0.026292486434302074	0.9166666666666666	0.9166666666666666	0.08333333333333333	-0.9166666666666666	0.1751996318459762	0.12824636623298727	14	6
TBX21	NEPC-high	0.9166666666666666	0.9166666666666666	-1.857428611938606	0.0022703818369453044	0.026292486434302074	0.08333333333333333	-0.9166666666666666	0.9166666666666666	0.9166666666666666	0.05754100545372536	0.08728468670880415	14	6
ZNF341	NEPC-high	0.9166666666666666	0.9166666666666666	-1.8565426305969779	0.0022703818369453044	0.026292486434302074	0.08333333333333333	-0.9166666666666666	0.9166666666666666	0.9166666666666666	-0.04643351814991162	-0.009172878182604233	14	6
HOXA6	ARPC-high	0.9166666666666666	0.9166666666666666	1.751504772679999	0.0022703818369453044	0.026292486434302074	0.9166666666666666	0.9166666666666666	0.08333333333333333	-0.9166666666666666	0.05427686619051097	0.04216541502788324	14	6
ONECUT2	ARPC-high	0.9166666666666666	0.9166666666666666	1.7281192746533918	0.0022703818369453044	0.026292486434302074	0.9166666666666666	0.9166666666666666	0.08333333333333333	-0.9166666666666666	0.008747387150010128	-0.019584497234527504	14	6
ZNF217	ARPC-high	0.9166666666666666	0.9166666666666666	1.650570866841229	0.0022703818369453044	0.026292486434302074	0.9166666666666666	0.9166666666666666	0.08333333333333333	-0.9166666666666666	0.10458716238284818	0.07209951402851866	14	6
STAT4	NEPC-high	0.9047619047619048	0.9047619047619048	-1.8584474962997506	0.003302373581011352	0.033872917588087866	0.09523809523809523	-0.9047619047619048	0.9047619047619048	0.9047619047619048	0.03395516248008763	0.053070492223216394	14	6
TP73	NEPC-high	0.9047619047619048	0.9047619047619048	-1.8116842336430174	0.003302373581011352	0.033872917588087866	0.09523809523809523	-0.9047619047619048	0.9047619047619048	0.9047619047619048	-0.008142950581862885	0.020506226605825358	14	6
POU3F2	NEPC-high	0.9047619047619048	0.9047619047619048	-1.7639459802915585	0.003302373581011352	0.033872917588087866	0.09523809523809523	-0.9047619047619048	0.9047619047619048	0.9047619047619048	0.026719850012686303	0.06890142473498839	14	6
TP53	NEPC-high	0.9047619047619048	0.9047619047619048	-1.742344220731484	0.003302373581011352	0.033872917588087866	0.09523809523809523	-0.9047619047619048	0.9047619047619048	0.9047619047619048	0.012556116972092607	0.05840580233018602	14	6
BCL6	NEPC-high	0.8928571428571429	0.8928571428571429	-1.8413321220662848	0.0046439628482972135	0.04167956656346749	0.10714285714285714	-0.8928571428571429	0.8928571428571429	0.8928571428571429	0.11463160801829737	0.15803794770860624	14	6
MEF2B	NEPC-high	0.8928571428571429	0.8928571428571429	-1.7087298068907169	0.0046439628482972135	0.04167956656346749	0.10714285714285714	-0.8928571428571429	0.8928571428571429	0.8928571428571429	0.0017252525310325058	0.03119634870296182	14	6
NR3C1	ARPC-high	0.8928571428571429	0.8928571428571429	1.638848586740081	0.0046439628482972135	0.04167956656346749	0.8928571428571429	0.8928571428571429	0.10714285714285714	-0.8928571428571429	0.08073579896041155	0.04967787264737486	14	6
PITX3	NEPC-high	0.8928571428571429	0.8928571428571429	-1.6277398270274204	0.0046439628482972135	0.04167956656346749	0.10714285714285714	-0.8928571428571429	0.8928571428571429	0.8928571428571429	0.031124798338438942	0.050070130546035894	14	6
STAT5B	NEPC-high	0.8928571428571429	0.8928571428571429	-1.5828355224842352	0.0046439628482972135	0.04167956656346749	0.10714285714285714	-0.8928571428571429	0.8928571428571429	0.8928571428571429	0.030765589328114535	0.05507373971095052	14	6
LEF1	NEPC-high	0.8809523809523809	0.8809523809523809	-1.800338880197943	0.006449948400412796	0.05145625501662653	0.11904761904761904	-0.8809523809523809	0.8809523809523809	0.8809523809523809	0.021291056583957118	0.06506906056288933	14	6
HAND2	NEPC-high	0.8809523809523809	0.8809523809523809	-1.6769183954877285	0.006449948400412796	0.05145625501662653	0.11904761904761904	-0.8809523809523809	0.8809523809523809	0.8809523809523809	-0.024256659887922676	0.006702160276142248	14	6
GATA2	ARPC-high	0.8809523809523809	0.8809523809523809	1.6559367587244713	0.006449948400412796	0.05145625501662653	0.8809523809523809	0.8809523809523809	0.11904761904761904	-0.8809523809523809	0.10190834239324335	0.061228466921656	14	6
PBX1	NEPC-high	0.8809523809523809	0.8809523809523809	-1.5429822705599563	0.006449948400412796	0.05145625501662653	0.11904761904761904	-0.8809523809523809	0.8809523809523809	0.8809523809523809	0.01576997066592578	0.03658215687501059	14	6
STAT2	NEPC-high	0.8809523809523809	0.8809523809523809	-1.4713449579483018	0.006449948400412796	0.05145625501662653	0.11904761904761904	-0.8809523809523809	0.8809523809523809	0.8809523809523809	0.04921804450721993	0.06254851659973718	14	6
ZBTB16	NEPC-high	0.8690476190476191	0.8690476190476191	-1.6966177268624787	0.0087203302373581	0.059067897268142606	0.13095238095238096	-0.8690476190476191	0.8690476190476191	0.8690476190476191	-0.0288573819683204	-0.004122409934622206	14	6
T	NEPC-high	0.8690476190476191	0.8690476190476191	-1.5505169275294712	0.0087203302373581	0.059067897268142606	0.13095238095238096	-0.8690476190476191	0.8690476190476191	0.8690476190476191	-0.022487990087086802	0.003437354426278438	14	6
NR1H3	ARPC-high	0.8690476190476191	0.8690476190476191	1.542586682358867	0.0087203302373581	0.059067897268142606	0.8690476190476191	0.8690476190476191	0.13095238095238096	-0.8690476190476191	0.12058197755966857	0.08704091142205019	14	6
TP63	NEPC-high	0.8690476190476191	0.8690476190476191	-1.5247796526840074	0.0087203302373581	0.059067897268142606	0.13095238095238096	-0.8690476190476191	0.8690476190476191	0.8690476190476191	0.027915188768843698	0.05625163115123153	14	6
TWIST1	NEPC-high	0.8690476190476191	0.8690476190476191	-1.5070409221194208	0.0087203302373581	0.059067897268142606	0.13095238095238096	-0.8690476190476191	0.8690476190476191	0.8690476190476191	0.013059410220987814	0.05417262185352886	14	6
